Date,Open,High,Low,Close,Adj Close,Volume
01/05/2000,112.5,113.1875,110.4375,112,71.191414,4196100
02/05/2000,111,113.625,110.6875,111.375,70.794136,4085000
03/05/2000,110.5,111.125,106.5625,108.125,68.728317,5543800
04/05/2000,109.125,109.1875,107.1875,107.625,68.410507,3631300
05/05/2000,106.625,109.625,106.5,107.875,68.569405,4695100
08/05/2000,108.0625,110.375,107.625,109.75,69.845398,4826900
09/05/2000,110.5,110.625,108.25,109,69.368095,4864900
10/05/2000,105.5,105.6875,102.0625,103,65.549667,10012700
11/05/2000,104,107.5,103.1875,104.4375,66.4645,8106200
12/05/2000,103.75,105.75,103.25,104.4375,66.4645,5599700
15/05/2000,104,104.875,102,104.1875,66.305382,5907800
16/05/2000,105.125,109.25,105,109,69.368095,7265800
17/05/2000,107.5,108.875,106.125,107.875,68.652107,5524500
18/05/2000,106.125,107.3125,104.6875,106.0625,67.498642,4577200
19/05/2000,106.0625,107.5,105,106.4375,67.737289,6419200
22/05/2000,106,109.25,103.4375,109.25,69.527206,6769400
23/05/2000,109,110,107.125,107.375,68.333908,5978900
24/05/2000,106.5,110,104.1875,109.625,69.765831,8184200
25/05/2000,110.5,112.25,106.375,106.5,67.7771,5967600
26/05/2000,105.5,107.1875,104.5625,106.9375,68.055496,4296900
30/05/2000,107.75,111,107.6875,110.9375,70.60112,3617500
31/05/2000,110.5,110.75,107.1875,107.3125,68.294159,3732500
01/06/2000,107.5625,108.9375,105.5,106,67.458847,5712500
02/06/2000,109,109.75,107.625,108.8125,69.248795,5473300
05/06/2000,108.4375,114.1875,108.4375,112.8125,71.794395,7281400
06/06/2000,112.25,114.625,111.25,112.375,71.51593,5369400
07/06/2000,112.5,121.75,111.5,121,77.004944,11115500
08/06/2000,119.375,122.3125,117.5,119.75,76.209435,9325600
09/06/2000,119.875,120.75,118.875,119.6875,76.169655,4739100
12/06/2000,119.125,120.4375,118.84375,118.84375,75.632683,3640300
13/06/2000,118.875,119.9375,116.75,119.3125,75.930977,4008600
14/06/2000,118.875,120,115.5,116,73.822929,5282600
15/06/2000,116,119,115.875,116.8125,74.339981,5386300
16/06/2000,116.3125,117.6875,113.25,113.25,72.072807,8046200
19/06/2000,113.5,120.375,113.25,120.375,76.607162,6059200
20/06/2000,120,120.6875,115.375,116.375,74.061577,7103800
21/06/2000,115.5625,115.9375,113.5,114.5,72.868301,6487000
22/06/2000,114.125,114.3125,111.25,111.8125,71.157974,4853100
23/06/2000,113.5,113.625,110.8125,111.875,71.197754,3360900
26/06/2000,113,115.75,112.875,114.40625,72.808655,3625900
27/06/2000,111.625,112.8125,108.75,109.75,69.845398,6607900
28/06/2000,110,115.1875,109.875,113.78125,72.410873,6436600
29/06/2000,111.75,114.375,110.0625,114,72.550125,7688500
30/06/2000,112.6875,113.1875,108.625,109.5625,69.726105,8612600
03/07/2000,108.75,109.875,108.3125,109.5,69.686279,2304400
05/07/2000,105.625,105.625,101.125,105,66.822426,14339600
06/07/2000,105,105.125,100,101.25,64.435959,12932700
